run_4_1,NAME:,,
08/06/2023 10:38,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
130,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
7.45,-10.76,2.68,49.629
7.45,-10.76,2.68,49.726
7.45,-10.76,2.68,49.819
7.45,-10.76,2.68,49.915
7.45,-10.76,2.68,50.012
7.45,-10.76,2.68,50.103
7.45,-10.76,2.68,50.112
7.45,-10.76,2.68,50.203
11.96,-18.45,0.07,50.295
9.15,-15.15,-2.48,50.386
8.19,-8.71,-3.74,50.479
8.19,-8.71,-3.74,50.574
8.19,-8.71,-3.74,50.665
8.19,-8.71,-3.74,50.759
8.19,-8.71,-3.74,50.773
8.19,-8.71,-3.74,50.862
8.19,-8.71,-3.74,50.95
8.19,-8.71,-3.74,51.043
3.84,-3.5,-3.99,51.139
1.63,0.03,-3.45,51.233
1.9,-1.78,-2.89,51.244
1.9,-1.78,-2.89,51.341
1.9,-1.78,-2.89,51.434
1.9,-1.78,-2.89,51.532
1.9,-1.78,-2.89,51.629
1.9,-1.78,-2.89,51.639
1.9,-1.78,-2.89,51.735
1.9,-1.78,-2.89,51.831
1.79,-0.44,-3.1,51.931
0.41,-6.64,-5.96,52.031
1.71,-12.63,-6.39,52.129
1.71,-12.63,-6.39,52.136
1.71,-12.63,-6.39,52.233
1.71,-12.63,-6.39,52.331
1.71,-12.63,-6.39,52.424
1.71,-12.63,-6.39,52.52
1.71,-12.63,-6.39,52.61
1.71,-12.63,-6.39,52.62
2.76,-19.36,-6.43,52.715
5.7,-16.8,-2.14,52.811
3.96,-10.87,-1.74,52.907
3.96,-10.87,-1.74,53
3.96,-10.87,-1.74,53.099
3.96,-10.87,-1.74,53.196
3.96,-10.87,-1.74,53.207
3.96,-10.87,-1.74,53.303
3.96,-10.87,-1.74,53.403
3.96,-10.87,-1.74,53.494
3.8,-3.83,-2.41,53.504
1.94,0.98,-3.01,53.598
7.6,-2.79,0.07,53.69
7.6,-2.79,0.07,53.782
7.6,-2.79,0.07,53.873
7.6,-2.79,0.07,53.97
7.6,-2.79,0.07,54.065
7.6,-2.79,0.07,54.16
7.6,-2.79,0.07,54.167
7.6,-2.79,0.07,54.264
12.91,-8.63,-1.69,54.356
15.42,-16.63,-0.39,54.456
8.34,-9.47,-1.1,54.547
8.34,-9.47,-1.1,54.557
8.34,-9.47,-1.1,54.645
8.34,-9.47,-1.1,54.737
8.34,-9.47,-1.1,54.833
8.34,-9.47,-1.1,54.926
8.34,-9.47,-1.1,55.02
8.34,-9.47,-1.1,55.116
3.15,-10.57,0.6,55.126
0.68,-1.87,0.88,55.215
2.55,-4.34,-0.9,55.311
2.55,-4.34,-0.9,55.41
2.55,-4.34,-0.9,55.509
2.55,-4.34,-0.9,55.609
2.55,-4.34,-0.9,55.713
2.55,-4.34,-0.9,55.723
2.55,-4.34,-0.9,55.821
