NAME:,run_3_1.csv,,
EXPERIMENT TIME:,07/06/2023 16:47,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,145,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
22.527,5.77,3.18,4.63
22.569,5.06,-17.69,2.71
22.629,-2.55,-11.57,-2.16
22.659,-2.63,-6.35,-4.51
22.722,-1.06,0.67,-3.26
22.775,-1.8,-2.51,1.96
22.825,-13.96,-5.92,7.14
22.887,4.9,-7.49,-3.49
22.914,-0.08,-9.96,-1.29
22.97,4.75,-3.92,-8.28
23.025,3.57,-17.26,8.71
23.077,5.77,-5.96,-1.22
23.132,1.45,-1.65,2.51
23.184,-4.94,-1.57,0.39
23.234,-3.92,-0.9,7.1
23.289,-0.39,-20.01,5.81
23.339,6.24,-18.48,0.71
23.391,1.22,-13.85,1.61
23.447,-4.28,-10.08,-2.55
23.503,-2.28,-2.9,-2.9
23.524,-0.2,0.43,-1.88
23.606,-1.33,0.08,2.75
23.631,-9.53,-20.01,0.67
23.684,0.78,-10.24,0.71
23.733,-4.04,-12.91,-1.14
23.785,1.57,-12.51,-5.73
23.834,4.71,-17.73,9.92
23.895,5.41,-4,-1.26
23.932,0.67,-2.51,3.41
24.003,-3.77,-0.9,1.14
24.051,0.35,1.18,12.83
24.107,4.2,-20.01,7.73
24.16,6.12,-15.85,0.2
24.188,-0.67,-15.93,-2.16
24.258,-3.06,-9.18,-2.16
24.312,-0.82,-7.61,-3.49
24.364,0.47,-1.18,0.9
24.42,-1.02,1.77,2.24
24.468,-10.98,-5.26,9.96
24.493,-4.16,-14.67,3.8
24.551,-0.51,-10.9,1.69
24.612,4.43,-17.61,2.31
24.66,2.47,-16.28,5.02
24.718,3.45,-6.16,0.71
24.786,0.31,-1.26,4.94
24.808,-0.9,0.16,-1.06
24.897,-3.49,-12.08,2.47
24.927,-2.28,-17.18,12.08
24.969,6.86,-16.91,2.63
25.004,-0.27,-13.18,-1.26
25.063,-3.61,-6.75,-2.71
25.111,-0.31,0.51,-3.26
25.168,-1.02,-3.1,0.51
25.218,-10.08,-6.28,11.92
25.262,-2.98,-7.34,1.53
25.315,0.59,-12.08,0.78
25.374,-0.04,-12.2,-4.82
25.457,5.73,-20.01,11.3
25.464,5.92,-5.06,-1.14
25.52,1.06,0.51,1.41
25.568,-3.14,0.71,4.04
25.62,3.8,1.65,3.77
25.69,-3.8,-19.57,1.06
25.719,0.86,-20.01,3.14
25.777,2.71,-16.08,1.77
25.828,-4.08,-7.53,-2.35
25.875,-0.86,-3.65,-2.39
25.93,-1.29,-0.35,-1.61
25.981,0.16,-1.65,4.82
26.035,2.35,-18.95,2
26.077,1.61,-18.16,0.35
26.161,-0.82,-13.96,-3.49
26.182,5.06,-16.32,2.82
26.235,4.47,-9.65,4.75
26.283,2.04,-5.26,-0.16
26.348,-1.65,-1.14,2.98
26.405,3.8,0.71,2.67
26.458,0.08,-20.01,6.79
26.486,2.9,-19.3,2.04
26.553,2.28,-15.46,-0.12
26.602,-4,-8.12,-2.59
26.653,-1.84,-8.39,-5.73
26.714,-0.08,2.47,-1.61
26.743,0.39,-1.53,-1.65
26.814,-3.92,-13.06,-1.88
26.862,4.08,-13.26,0.12
26.891,-0.16,-12,-2.63
26.967,3.96,-11.18,4.51
27.014,4.79,-10.55,8.79
27.043,3.14,-5.73,-0.94
27.102,-1.26,-3.41,5.02
27.156,1.69,1.14,1.02
27.208,-3.33,-6.35,-2.28
27.258,0.82,-20.01,15.1
27.301,9.14,-13.89,1.73
27.363,-0.94,-11.1,-3.26
27.427,-4.2,-5.37,-4.04
27.461,-0.24,0.12,-3.3
27.506,0.78,-2.47,1.45
27.781,-4.82,-16.12,9.1
27.791,-0.27,-8.08,-0.51
27.805,-0.47,-12.63,0.04
27.869,1.02,-0.55,5.69
27.921,-1.06,0.63,0.51
27.976,-4.31,-16.08,-5.73
28.024,-1.77,-16.79,4.86
28.111,3.8,-14.08,0.47
28.119,-0.2,-11.57,-2.94
28.192,-3.73,-9.14,-5.37
28.221,-3.45,-1.61,-3.53
28.282,1.06,-2.55,6.59
28.338,-4.08,-16.67,-6.12
28.39,2.71,-9.41,4.16
28.444,-1.26,-11.14,-1.18
28.494,2.9,-17.89,-0.35
28.549,4.98,-11.53,2
28.571,2.94,-8.39,1.8
28.69,2.39,-5.69,1.14
28.7,-0.67,-2.63,1.96
28.75,-1.06,-1.18,-0.75
28.801,-2.59,-11.92,4.63
28.852,-4.86,-16.99,11.41
28.881,6.86,-14.79,3.37
28.948,-2.31,-17.73,-0.39
29.002,-1.02,-8.51,-3.14
29.051,-1.49,-7.41,-4.94
29.103,-1.8,0.63,-2.39
29.163,-0.04,-2.94,1.92
29.197,-4.39,-18.32,4.35
29.251,-3.3,-5.26,0.55
29.312,-0.59,-12.24,-0.27
29.338,0.63,-14.95,0.75
29.416,3.41,-18.87,8.59
29.462,3.8,-6.04,-0.67
29.514,0.71,-4.08,-0.35
29.57,-0.75,-2.16,1.84
29.598,0.63,-1.88,2.04
