NAME:,walk_4_1.csv,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 11:54,,,,,,,,,,,,,
ACTIVITY TYPE:,Walking,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,
308755,-8.43372,-0.196133,0,,,,,,,,,,,
308836,-9.610518,-1.059118,0.470719,,,,,,,,,,,
308917,-12.35638,1.686744,-1.882877,,,,,,,,,,,
308998,-14.474616,-3.765754,-1.255251,,,,,,,,,,,
309079,-10.120463,-5.099459,0.431493,,,,,,,,,,,
309160,-10.434276,-0.274586,0.039227,,,,,,,,,,,
309241,-7.296148,-1.255251,1.372931,,,,,,,,,,,
309322,-5.648631,0.274586,1.804424,,,,,,,,,,,
309403,-6.786202,2.07901,1.529837,,,,,,,,,,,
309484,-20.005568,-6.786202,4.2757,,,,,,,,,,,
309565,-13.062458,1.412158,2.628182,,,,,,,,,,,
309646,-7.374601,-3.883434,0.431493,,,,,,,,,,,
309727,-9.453611,-1.059118,0.862985,,,,,,,,,,,
309808,-7.727641,-2.471276,0.11768,,,,,,,,,,,
309889,-8.786758,-0.039227,-0.392266,,,,,,,,,,,
