Time [sec],ACC X,ACC Y,ACC Z
31.888,4.2,-10.16,-6.39
32.004,4.16,-12.55,3.69
32.02,2.9,-2.79,-0.12
32.043,-0.35,-12.4,0
32.104,2.55,-9.65,-0.98
32.153,0.35,-8.55,0.04
32.212,0.2,-8.63,-0.24
32.241,0.71,-9.14,0.12
32.298,-2.08,-9.18,-0.51
32.358,-0.82,-10.12,-0.2
32.408,-0.51,-9.38,-1.53
32.46,-2.47,-10.2,-0.35
32.513,0.2,-11.53,0.47
32.585,4,-14.44,1.41
32.613,2.9,-10.63,3.02
32.668,6.86,-14.08,-0.71
32.72,1.26,-10.47,-2.51
32.769,1.1,-6.9,-0.67
32.8,2.43,-6.98,-2.55
32.876,2.04,-6.2,-2.51
32.904,0.16,-4.98,-3.8
32.961,0.31,-7.61,-4.67
33.017,0.86,-11.18,-3.49
33.065,2.04,-9.18,-7.06
33.107,4.82,-9.77,-6.55
33.18,4.94,-13.26,4.82
33.229,2,-6.24,0.39
33.308,0.63,-10.32,-1.49
33.317,2.59,-9.96,0.75
33.369,1.14,-8.28,1.02
33.424,1.53,-8.47,0.39
33.478,-0.04,-8.98,0.78
33.534,-1.77,-9.41,-0.39
33.566,-0.78,-10.9,-0.63
33.64,-1.92,-10.12,-0.75
33.668,-2.71,-10.36,-1.18
33.723,0.78,-13.34,0.94
33.776,2.9,-15.02,2.47
33.894,3.73,-9.38,1.65
33.899,7.37,-12.71,0.63
33.946,0.55,-9.89,-1.61
34.245,0.71,-7.02,-0.9
34.269,1.02,-4.12,-4
34.282,1.06,-8.9,-8.24
34.334,2.75,-6.2,-6.51
34.386,5.37,-14.67,3.41
34.439,1.77,-6.43,0.08
34.505,1.8,-7.3,-2
34.582,3.02,-12.16,1.02
34.592,0.43,-9.3,0
34.641,0.63,-8.51,-0.04
34.687,-0.82,-8.36,-0.2
34.743,-2.86,-9.45,-0.78
34.813,-0.35,-9.65,-1.06
34.865,-1.29,-10.63,-0.24
34.89,-1.18,-10.67,-0.63
34.953,2.39,-14.2,0.98
35,4.24,-10.4,3.1
35.054,6.55,-13.3,0.63
35.104,2.86,-10.87,-1.06
35.159,1.06,-8.43,-2.12
35.208,1.88,-6.43,-2.2
35.246,1.29,-6.08,-2.55
35.316,1.02,-3.61,-3.45
35.37,1.57,-5.65,-3.88
35.4,1.77,-13.49,-4.43
35.459,1.8,-10.94,-6.47
35.517,1.96,-7.49,-7.73
35.565,5.41,-18.91,-2.67
35.619,4.2,-5.49,0.55
35.682,0.35,-7.34,-0.55
35.715,2.43,-11.1,-0.16
35.765,1.73,-9.3,1.22
35.84,-0.55,-8.71,-0.04
35.861,1.49,-9.18,0.12
35.918,-0.24,-8.83,-0.12
35.976,-0.86,-9.77,-0.59
36.027,-0.47,-9.65,-0.63
36.083,-2.47,-10.12,0.04
36.132,-0.55,-11.3,-0.08
36.178,5.65,-13.38,1.57
36.236,4.79,-10.24,2.94
36.269,7.02,-15.46,0.27
36.323,2.16,-10.63,-1.92
36.373,1.61,-8.47,-1.61
36.433,1.37,-7.41,-2.94
36.509,0.67,-5.1,-2.9
36.532,1.06,-2.63,-3.22
36.583,1.18,-5.1,-3.45
36.636,2.12,-14.59,-4.12
36.682,3.06,-11.92,-6.28
36.733,2.16,-6.12,-8.16
36.794,6.79,-20.01,0.08
36.847,5.18,-10.12,2.82
36.903,-0.35,-7.73,0.51
36.957,2.51,-7.3,-0.24
36.983,4.86,-10.32,3.33
37.04,0.31,-9.69,0.86
37.105,-0.16,-9.57,0.2
37.158,-2.08,-8.79,-1.29
37.19,-1.29,-9.38,-0.78
37.252,0.31,-9.45,-0.9
37.3,-1.84,-9.89,0.59
37.356,0.51,-11.53,0.12
37.406,5.18,-13.42,1.53
37.456,4.82,-12.36,3.22
37.512,6.04,-13.73,-0.12
37.561,3.06,-10.71,-0.59
37.618,1.14,-8.43,-1.77
37.692,2.24,-5.81,-1.84
37.702,1.61,-5.88,-2.86
37.76,1.8,-4.16,-3.92
37.818,0.86,-4.82,-3.69
37.865,1.33,-11.38,-3.65
37.919,3.3,-12.16,-6.86
37.964,3.1,-8.12,-8.47
38.024,5.02,-17.89,6.67
38.081,2.12,-5.57,0.67
38.115,0.47,-7.53,0.24
38.169,3.06,-11.1,0
38.221,1.84,-8.51,0.55
38.27,-0.75,-9.57,-0.16
38.438,-1.14,-8.94,-0.51
38.488,0.51,-10.59,-1.02
38.535,-4.16,-9.38,-2
38.569,0.51,-11.61,-0.55
38.622,2.59,-12.47,1.41
38.67,6.28,-11.1,2.47
38.726,7.53,-14.71,0.94
38.781,2.47,-12.71,-4
38.833,1.22,-10.08,-1.84
38.887,1.53,-5.69,-3.14
38.976,0.63,-3.69,-1.73
38.983,1.33,0.47,-3.41
39.031,0.75,-4.43,-4
39.075,3.26,-17.06,-4.94
39.13,4.28,-7.49,-9.53
39.187,5.26,-14.44,2
39.239,2.31,-6.12,-0.2
39.518,0.24,-10.04,0.59
39.541,-0.2,-9.65,-0.31
39.546,1.02,-8.36,0.04
39.551,-1.02,-7.65,0.12
39.583,-1.02,-9.06,-0.43
39.678,-0.31,-9.96,-0.67
39.703,-2.39,-11.02,-0.43
39.739,2.82,-13.45,0.27
39.788,3.49,-15.65,4.28
39.843,4.43,-8.71,1.26
39.894,7.53,-13.53,0.43
39.944,-0.47,-10.94,-2.51
39.997,2.35,-7.3,-3.02
40.055,2.04,-6.43,-2.94
40.105,0.31,-3.88,-2.51
40.16,1.06,-2.82,-3.69
40.213,1.96,-10.87,-4.79
40.352,8.24,-20.01,-3.02
40.406,2.63,-6.32,-0.63
40.471,-0.2,-7.3,-2.59
40.521,2.55,-13.38,0.2
40.578,1.96,-9.06,-0.12
40.608,1.02,-8.51,-1.73
40.663,-0.2,-8.63,-0.78
40.717,-0.71,-6.9,0.16
40.772,-0.59,-8.04,-0.12
