Time [sec],ACC X,ACC Y,ACC Z
37.372,0.16,-1.92,1.26
37.44,0.82,-0.27,2.28
37.485,-0.86,-4.24,6.2
37.544,-3.14,-17.89,11.61
37.573,6,-15.18,1.96
37.633,-0.98,-13.42,-2.82
37.683,-1.77,-9.81,0.47
37.736,-1.49,-5.96,-5.45
37.787,-0.78,0.71,-1.29
37.841,-4.31,-1.84,0.63
37.877,6.08,-13.45,-3.33
37.991,0.16,-14.71,4.51
38.001,2.55,-18.24,2.82
38.046,2.75,-16.95,3.96
38.094,3.3,-10.32,2.98
38.147,1.96,-5.45,-1.37
38.198,-0.39,-2.12,4.47
38.235,4.04,1.8,4.79
38.287,-1.84,-10.83,-0.31
38.347,-0.27,-20.01,5.84
38.408,4.04,-18.67,0.08
38.435,-1.69,-12.98,-2.2
38.5,-2.39,-9.61,-4.43
38.56,-1.8,-1.37,-6.2
38.585,1.73,-1.88,-0.86
38.644,-5.96,-7.37,5.1
38.695,-5.57,-9.06,2.94
38.755,-0.59,-16.36,3.14
38.793,2.12,-18.91,2.71
38.847,5.45,-14.44,7.73
38.9,3.53,-10.04,1.88
38.956,-0.82,-2.71,0.08
39.007,-0.71,-2.94,5.3
39.061,0.63,2.28,2.82
39.113,0.35,-15.81,4.43
39.178,0.08,-20.01,8.28
39.205,4.86,-14.95,-5.02
39.26,-2.39,-11.26,-2.04
39.308,-2.47,-9.22,-4.98
39.361,-0.67,2.9,-0.31
39.421,-1.84,-2.9,1.02
39.473,9.49,-18.55,-13.18
39.736,-3.84,-12.16,2
39.746,-0.86,-17.34,-0.2
39.754,2.43,-18.59,5.53
39.774,-1.26,-0.82,3.69
39.84,2.82,0.04,2.28
39.87,-2.71,-11.14,-3.77
39.919,1.06,-17.46,10.12
39.968,-0.35,-20.01,0.43
40.019,-2.39,-12.59,-3.02
40.07,-2,-10.51,-1.61
40.136,-1.84,-3.22,-2.98
40.187,-2.31,-0.86,-1.77
40.223,-3.22,-2.2,9.73
40.276,1.84,-10.16,4.04
40.323,-2.39,-14.75,1.37
40.379,1.37,-18.16,2.16
40.428,5.57,-13.53,7.06
40.492,5.41,-9.3,-2.12
40.523,2.43,-2.63,3.69
40.589,-1.26,-0.55,2.75
40.638,-3.06,-2.79,2.35
40.694,-5.02,-19.61,11.3
40.749,5.73,-20.01,6.04
40.778,2.43,-11.73,-1.65
40.834,-2.98,-11.49,-3.26
40.885,-2.47,-3.1,-7.3
40.945,-1.26,-1.77,-2.16
40.999,1.77,1.14,6.39
41.059,5.33,-14.4,-2.47
41.139,2.82,-13.45,2.31
41.148,3.33,-17.1,-1.14
41.193,4.75,-15.89,2.94
41.243,5.57,-10.4,-0.47
41.301,0.63,-6.16,1.92
41.354,0.16,-1.57,3.18
41.416,-0.75,1.22,5.92
41.466,2,-12.55,2.2
41.521,2.59,-20.01,2.94
41.547,5.69,-14.67,-2.12
41.603,-2.12,-13.61,-3.18
41.651,-1.1,-10,-4.47
41.765,-1.69,-0.75,-0.2
41.776,-5.81,0.86,5.02
41.817,8.67,-20.01,-13.38
41.869,1.84,-9.85,2.04
41.922,-3.77,-13.45,0.24
41.974,3.49,-17.77,1.92
42.024,5.45,-13.06,4.51
42.075,4.31,-9.69,-0.94
42.131,1.65,-4,1.53
42.168,1.73,-0.16,4.79
42.227,-3.73,-10.08,-2.12
42.277,0.78,-13.57,6
42.405,6.63,-19.57,1.96
42.415,0.08,-15.06,-2.55
42.422,-1.84,-11.14,3.3
42.479,-1.84,-5.92,-5.02
42.535,-1.61,0,-0.67
42.59,-2.82,-0.12,2.59
