""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""173341.0""","""9.73""","""-5.18""","""0.35"""
"""173442.0""","""12.71""","""-2.59""","""-2.98"""
"""173543.0""","""13.73""","""-0.94""","""-1.37"""
"""173644.0""","""5.81""","""-3.65""","""2.08"""
"""173745.0""","""6.35""","""-3.18""","""2.86"""
"""173846.0""","""11.81""","""-3.14""","""1.41"""
"""173947.0""","""10.87""","""-2.9""","""5.41"""
"""174048.0""","""9.96""","""2.04""","""-0.98"""
"""174149.0""","""12.24""","""-2.9""","""-2.63"""
"""174250.0""","""5.84""","""-3.53""","""-1.29"""
"""174351.0""","""8.47""","""-3.96""","""-0.31"""
"""174452.0""","""11.18""","""-4.0""","""0.0"""
"""174553.0""","""12.43""","""-8.12""","""-0.31"""
"""174654.0""","""10.71""","""-3.88""","""-2.39"""
"""174755.0""","""12.12""","""-1.45""","""-0.24"""
"""174856.0""","""7.34""","""-2.98""","""0.59"""
"""174957.0""","""3.77""","""-0.9""","""2.16"""
"""175058.0""","""11.3""","""-4.98""","""3.8"""
"""175159.0""","""14.08""","""-0.82""","""1.49"""
"""175260.0""","""11.53""","""0.0""","""-1.06"""
"""175361.0""","""6.9""","""-3.02""","""-2.2"""
"""175462.0""","""6.16""","""-1.45""","""-0.86"""
"""175563.0""","""8.94""","""-3.84""","""-0.2"""
"""175664.0""","""18.12""","""-5.92""","""-3.06"""
"""175765.0""","""9.57""","""-0.04""","""-1.45"""
"""175866.0""","""11.38""","""-3.96""","""-1.02"""
"""175967.0""","""5.69""","""-0.51""","""1.37"""
"""176068.0""","""4.9""","""-1.53""","""1.33"""
"""176169.0""","""16.51""","""-4.9""","""3.37"""
"""176270.0""","""11.34""","""-0.71""","""1.96"""
"""176371.0""","""9.1""","""-2.04""","""0.31"""
"""176472.0""","""8.28""","""-2.04""","""-1.26"""
"""176573.0""","""7.41""","""-2.31""","""-1.41"""
"""176674.0""","""8.51""","""-4.39""","""-0.39"""
"""176775.0""","""17.18""","""-7.34""","""-1.45"""
"""176876.0""","""9.38""","""-1.61""","""-1.77"""
"""176977.0""","""11.34""","""-2.12""","""-1.37"""
"""177078.0""","""6.67""","""0.24""","""0.59"""
"""177179.0""","""5.45""","""-0.71""","""1.37"""
"""177280.0""","""7.85""","""-2.39""","""3.69"""
"""177381.0""","""20.01""","""-4.94""","""3.77"""
