"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""24.477958144000002""","""5.69""","""-2.55""","""-4.12"""
"""24.545067008""","""12.43""","""-1.02""","""-4.16"""
"""24.612175872""","""7.30""","""-1.61""","""-2.43"""
"""24.712839168000002""","""7.10""","""-3.02""","""-2.04"""
"""25.190989824000003""","""7.88""","""-2.79""","""-0.59"""
"""25.694306304""","""9.96""","""-1.41""","""-1.02"""
"""25.736249344""","""14.28""","""-2.35""","""-4.04"""
"""25.744637952""","""5.18""","""-2.75""","""-4.35"""
"""25.744637952""","""6.39""","""-0.20""","""-4.1611.18"""
"""25.761415168000003""","""6.86""","""-2.20""","""-2.94"""
"""25.83691264""","""11.89""","""-1.22""","""-5.61"""
"""25.929187328""","""9.53""","""-2.55""","""-2.75"""
"""25.996296192000003""","""6.79""","""-2.35""","""-1.41"""
"""26.088570880000002""","""8.00""","""-2.20""","""-1.14"""
"""26.17245696""","""13.61""","""-2.39""","""-1.69"""
"""26.239565824000003""","""14.32""","""-4.55""","""-4.59"""
"""26.323451904000002""","""4.90""","""-0.75""","""-3.61"""
"""26.398949376""","""6.24""","""-1.53""","""-3.96"""
"""26.541555712""","""13.38""","""-6.51""","""-4.75"""
"""26.600275968000002""","""9.18""","""-1.92""","""-4.24"""
"""26.67577344""","""7.45""","""-1.06""","""-2.12"""
"""26.71771648""","""6.83""","""-1.10""","""-0.51"""
"""26.809991168000003""","""11.77""","""-2.04""","""-2.24"""
"""26.893877248000003""","""18.16""","""-4.47""","""-5.92"""
"""26.977763328""","""6.63""","""-0.20""","""-4.28"""
"""27.070038016""","""8.04""","""-2.79""","""-2.90"""
"""27.153924096""","""12.40""","""-1.14""","""-4.08"""
"""27.204255744""","""8.43""","""-2.31""","""-2.08"""
"""27.296530432""","""7.30""","""-2.28""","""-1.14"""
"""27.422359552000003""","""8.00""","""-3.22""","""-1.33"""
"""27.489468416""","""17.26""","""-5.88""","""-2.71"""
"""27.556577280000003""","""13.89""","""-6.90""","""-4.86"""
"""27.623686144""","""3.96""","""1.26""","""-2.67"""
"""27.690795008000002""","""12.71""","""-4.79""","""-4.24"""
"""27.799846912000003""","""8.43""","""-3.41""","""-2.51"""
"""27.858567168""","""8.79""","""-1.69""","""-3.14"""
"""27.942453248000003""","""7.22""","""-0.82""","""-1.80"""
"""28.026339328000002""","""8.24""","""-1.22""","""-2.79"""
"""28.110225408""","""14.00""","""-1.06""","""0.47"""
"""28.202500096""","""12.04""","""-1.41""","""-2.71"""
"""28.277997568000004""","""5.30""","""-3.49""","""-4.82"""
"""28.378660864""","""8.59""","""-1.37""","""-2.94"""
"""28.445769728000002""","""8.04""","""-0.39""","""-4.08"""
"""28.512878592000003""","""8.98""","""-3.18""","""-2.16"""
"""28.621930496""","""8.00""","""-3.10""","""-1.53"""
"""28.680650752000002""","""7.96""","""-2.20""","""-1.65"""
"""28.747759616000003""","""15.57""","""-4.47""","""-3.53"""
"""28.831645696000002""","""10.40""","""-5.57""","""-3.30"""
"""28.923920384000002""","""4.12""","""1.10""","""-3.45"""
"""28.991029248""","""12.98""","""-5.41""","""-4.94"""
"""29.091692544""","""9.26""","""-2.94""","""-2.79"""
"""29.1504128""","""7.61""","""-1.33""","""-2.24"""
"""29.23429888""","""6.59""","""-0.86""","""-0.71"""
"""29.334962176""","""11.22""","""-1.88""","""-3.65"""
"""29.402071040000003""","""15.18""","""-6.39""","""-5.88"""
"""29.536288768000002""","""8.67""","""0.82""","""-3.65"""
"""29.5698432""","""6.04""","""-1.33""","""-3.61"""
"""29.645340672000003""","""12.28""","""-3.06""","""-3.69"""
"""29.729226752000002""","""6.39""","""-0.75""","""-3.77"""
"""29.804724224""","""8.79""","""-3.37""","""-2.28"""
"""29.896998912""","""7.49""","""-2.67""","""-0.90"""
"""29.980884992000004""","""8.28""","""-1.92""","""-2.20"""
"""30.064771072000003""","""13.26""","""-2.71""","""-4.63"""
"""30.131879936""","""4.90""","""-3.22""","""-4.67"""
"""30.215766016000003""","""10.40""","""-0.67""","""-4.98"""
"""30.291263488000002""","""9.30""","""-4.24""","""-2.39"""
"""30.433869824000002""","""7.77""","""-2.12""","""-3.77"""
"""30.492590080000003""","""7.73""","""-0.24""","""-2.28"""
"""30.568087552""","""7.57""","""-1.65""","""-1.29"""
"""30.626807808000002""","""12.83""","""-2.31""","""-2.47"""
"""30.710693888""","""15.38""","""-3.18""","""-4.39"""
