"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""26.180845568000002""","""-2.82""","""-2.94""","""1.96"""
"""26.264731648""","""0.39""","""3.77""","""-3.02"""
"""26.357006336""","""-6.90""","""-0.35""","""-4.63"""
"""26.457669632""","""-20.01""","""2.94""","""-8.12"""
"""26.558332928000002""","""-20.01""","""2.51""","""-6.75"""
"""26.617053184000003""","""-2.12""","""1.26""","""-1.84"""
"""26.692550656""","""-0.86""","""0.00""","""1.06"""
"""26.776436736""","""-1.57""","""-3.37""","""-4.79"""
"""26.877100032""","""-15.22""","""7.06""","""-11.61"""
"""26.944208896000003""","""-20.01""","""0.08""","""-9.26"""
"""27.028094976000002""","""-9.61""","""2.75""","""-5.26"""
"""27.103592448""","""0.78""","""-4.00""","""1.80"""
"""27.162312704""","""-1.80""","""1.92""","""-1.73"""
"""27.246198784""","""-4.90""","""3.06""","""-5.53"""
"""27.330084864000003""","""-20.01""","""0.39""","""-10.04"""
"""27.422359552000003""","""-19.89""","""1.45""","""-7.30"""
"""27.514634240000003""","""-5.61""","""-0.39""","""-2.51"""
"""27.598520320000002""","""1.84""","""-0.16""","""2.98"""
"""27.690795008000002""","""-2.79""","""-2.24""","""-3.10"""
"""27.774681088""","""-17.50""","""4.16""","""-8.87"""
"""27.825012736""","""-20.01""","""1.73""","""-11.65"""
"""27.883732992000002""","""-11.38""","""-0.24""","""-6.04"""
"""27.967619072""","""5.22""","""-4.08""","""-0.75"""
"""28.05989376""","""-0.98""","""3.57""","""-1.65"""
"""28.152168448""","""-3.06""","""1.80""","""-2.82"""
"""28.244443136""","""-20.01""","""-1.18""","""-9.92"""
"""28.328329216""","""-20.01""","""-0.67""","""-7.14"""
"""28.361883648000003""","""-7.30""","""1.73""","""-3.41"""
"""28.445769728000002""","""1.88""","""1.41""","""0.39"""
"""28.538044416""","""-2.63""","""0.51""","""-1.37"""
"""28.630319104""","""-9.61""","""-1.69""","""-12.24"""
"""28.730982400000002""","""-20.01""","""0.71""","""-6.20"""
"""28.823257088000002""","""-14.08""","""2.55""","""-8.90"""
"""28.890365952000003""","""1.65""","""-3.18""","""0.51"""
"""28.982640640000003""","""-0.12""","""6.28""","""-2.04"""
"""29.074915328000003""","""-1.80""","""-0.59""","""-4.82"""
"""29.1504128""","""-20.01""","""-1.29""","""-11.26"""
"""29.19235584""","""-20.01""","""3.92""","""-8.63"""
"""29.251076096000002""","""-8.98""","""0.08""","""-4.71"""
"""29.326573568""","""2.90""","""2.98""","""0.90"""
"""29.418848256""","""-2.86""","""-2.59""","""-3.14"""
"""29.494345728000003""","""-13.30""","""2.28""","""-8.71"""
"""29.595009024000003""","""-20.01""","""2.75""","""-9.45"""
"""29.695672320000003""","""-14.75""","""2.79""","""-7.73"""
"""29.771169792000002""","""1.77""","""-1.26""","""1.45"""
"""29.855055872""","""-1.18""","""5.49""","""-2.47"""
"""29.94733056""","""-2.20""","""0.24""","""-3.77"""
"""30.039605248""","""-20.01""","""-0.90""","""-12.24"""
"""30.123491328000004""","""-20.01""","""2.55""","""-9.61"""
"""30.173822976""","""-7.61""","""0.31""","""-3.22"""
"""30.240931840000002""","""5.14""","""2.47""","""-1.26"""
"""30.727471104000003""","""-3.57""","""-1.92""","""-3.26"""
"""30.752636928""","""-15.10""","""4.51""","""-4.51"""
"""30.769414144000002""","""-20.01""","""-0.55""","""-10.90"""
"""30.777802752000003""","""-16.16""","""0.35""","""-8.16"""
"""30.836523008""","""1.29""","""-1.96""","""-1.18"""
"""30.853300224""","""-0.04""","""4.31""","""-0.24"""
"""30.870077440000003""","""-0.43""","""0.86""","""-3.33"""
"""30.920409088000003""","""-18.59""","""-2.94""","""-11.02"""
"""30.99590656""","""-20.01""","""3.69""","""-8.36"""
"""31.088181248""","""-12.71""","""2.00""","""-5.14"""
"""31.172067328""","""4.79""","""3.18""","""-1.65"""
"""31.230787584""","""-1.49""","""-2.35""","""-0.75"""
"""31.289507840000002""","""-11.53""","""-4.51""","""-5.61"""
"""31.381782528000002""","""-20.01""","""0.78""","""-12.43"""
"""31.474057216000002""","""-20.01""","""1.65""","""-10.36"""
"""31.574720512000003""","""-2.04""","""1.33""","""-2.24"""
"""31.675383808000003""","""-2.24""","""0.31""","""4.43"""
"""31.700549632""","""-3.14""","""1.65""","""-2.00"""
"""31.79282432""","""-18.01""","""-2.16""","""-10.43"""
"""31.901876224000002""","""-20.01""","""4.71""","""-10.36"""
"""31.985762304""","""-15.53""","""0.71""","""-7.06"""
"""32.036093952""","""0.63""","""3.41""","""-1.18"""
"""32.103202816""","""-1.37""","""-1.49""","""-0.94"""
"""32.178700288""","""-4.16""","""-2.24""","""-4.24"""
"""32.262586368""","""-20.01""","""5.92""","""-11.41"""
"""32.354861056000004""","""-20.01""","""-0.86""","""-11.02"""
"""32.455524352000005""","""-5.84""","""0.71""","""-3.84"""
"""32.531021824""","""-1.80""","""1.69""","""2.71"""
"""32.598130688000005""","""-0.39""","""0.31""","""-2.55"""
"""32.682016768000004""","""-6.39""","""1.10""","""-10.40"""
"""32.749125632""","""-20.01""","""1.96""","""-9.85"""
"""32.841400320000005""","""-20.01""","""3.69""","""-8.43"""
