ACC Z,ACC Y,ACC X,Time [sec]
3.2,-10.77,-0.84,46.964
3.2,-10.77,-0.84,47.032
3.2,-10.77,-0.84,47.108
3.2,-10.77,-0.84,47.193
3.2,-10.77,-0.84,47.274
-1.69,-7.96,0.6,47.366
-2.65,-0.37,0.42,47.447
-2.76,-3.23,-0.08,47.531
-2.76,-3.23,-0.08,47.611
-2.76,-3.23,-0.08,47.692
-2.76,-3.23,-0.08,47.774
-2.76,-3.23,-0.08,47.848
-2.76,-3.23,-0.08,47.931
-2.76,-3.23,-0.08,48.011
-2.76,-3.23,-0.08,48.091
-2.55,0.3,0.55,48.173
1.26,-4.42,-1.36,48.248
1.95,-10.16,-2.5,48.341
1.95,-10.16,-2.5,48.42
1.95,-10.16,-2.5,48.493
1.95,-10.16,-2.5,48.576
1.95,-10.16,-2.5,48.65
1.95,-10.16,-2.5,48.74
1.95,-10.16,-2.5,48.818
1.95,-10.16,-2.5,48.915
3.78,-16.5,-4.47,49.001
1.54,-19.57,-2.5,49.08
2.82,-12.36,-1.32,49.164
2.82,-12.36,-1.32,49.244
2.82,-12.36,-1.32,49.325
2.82,-12.36,-1.32,49.404
2.82,-12.36,-1.32,49.484
2.82,-12.36,-1.32,49.563
2.82,-12.36,-1.32,49.65
2.82,-12.36,-1.32,49.731
5.96,-10.54,-1.28,49.809
4.24,-8.47,-3.6,49.891
4.35,-9.66,-4.85,49.972
4.35,-9.66,-4.85,50.051
4.35,-9.66,-4.85,50.129
4.35,-9.66,-4.85,50.208
4.35,-9.66,-4.85,50.287
4.35,-9.66,-4.85,50.367
4.35,-9.66,-4.85,50.451
4.35,-9.66,-4.85,50.532
-0.13,-11.48,-6.49,50.618
3.83,-12.34,-5.41,50.697
0.86,-12.72,-4.62,50.777
0.86,-12.72,-4.62,50.851
0.86,-12.72,-4.62,50.932
0.86,-12.72,-4.62,51.012
0.86,-12.72,-4.62,51.09
0.86,-12.72,-4.62,51.17
0.86,-12.72,-4.62,51.255
0.86,-12.72,-4.62,51.333
1.35,-6.12,-0.84,51.412
4.38,-7.47,0.58,51.491
5.84,-7.22,0.77,51.584
5.84,-7.22,0.77,51.669
5.84,-7.22,0.77,51.755
5.84,-7.22,0.77,51.834
5.84,-7.22,0.77,51.911
5.84,-7.22,0.77,51.988
5.84,-7.22,0.77,52.06
5.84,-7.22,0.77,52.143
6.2,-7.95,0.44,52.225
-1.18,-2.54,-1.4,52.307
-1.26,-4.33,-1.99,52.398
-1.26,-4.33,-1.99,52.474
-1.26,-4.33,-1.99,52.553
-1.26,-4.33,-1.99,52.631
-1.26,-4.33,-1.99,52.71
-1.26,-4.33,-1.99,52.79
-1.26,-4.33,-1.99,52.876
-1.26,-4.33,-1.99,52.954
-1.86,-5.53,-3.63,53.042
-0.27,-10.7,-3.14,53.127
0.37,-12.36,-1.12,53.213
0.37,-12.36,-1.12,53.287
0.37,-12.36,-1.12,53.368
0.37,-12.36,-1.12,53.45
0.37,-12.36,-1.12,53.531
0.37,-12.36,-1.12,53.612
0.37,-12.36,-1.12,53.693
0.37,-12.36,-1.12,53.775
-0.59,-17.02,1.03,53.862
-0.52,-12.89,0.47,53.939
-0.41,-7.34,-0.99,54.01
-0.41,-7.34,-0.99,54.084
-0.41,-7.34,-0.99,54.165
-0.41,-7.34,-0.99,54.248
-0.41,-7.34,-0.99,54.332
-0.41,-7.34,-0.99,54.414
-0.41,-7.34,-0.99,54.494
-0.41,-7.34,-0.99,54.573
