""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""679252.0""","""-7.3""","""3.33""","""10.75"""
"""679353.0""","""20.01""","""-20.01""","""-13.22"""
"""679454.0""","""20.01""","""-16.4""","""4.63"""
"""679555.0""","""-11.02""","""0.0""","""-0.12"""
"""679656.0""","""3.06""","""-20.01""","""3.61"""
"""679757.0""","""20.01""","""-11.1""","""-10.94"""
"""679858.0""","""6.0""","""5.1""","""-0.9"""
"""679959.0""","""-3.3""","""-11.53""","""-6.35"""
"""680060.0""","""1.22""","""-1.49""","""-0.82"""
"""680161.0""","""19.14""","""-0.78""","""6.59"""
"""680262.0""","""2.71""","""-0.24""","""-3.18"""
"""680363.0""","""1.29""","""9.69""","""-3.22"""
"""680464.0""","""-3.92""","""15.46""","""3.1"""
"""680565.0""","""15.1""","""-5.88""","""3.69"""
"""680666.0""","""6.51""","""-4.67""","""-7.26"""
"""680767.0""","""-10.04""","""1.26""","""0.9"""
"""680868.0""","""13.22""","""-20.01""","""-20.01"""
"""680969.0""","""11.3""","""-9.73""","""3.49"""
"""6810705.5""","""-10.16""","""8.0""","""7.69"""
"""681272.0""","""20.01""","""-20.01""","""-18.2"""
"""681373.0""","""10.2""","""5.61""","""-5.81"""
"""681474.0""","""-0.98""","""-8.55""","""-5.81"""
"""681575.0""","""-1.41""","""0.2""","""3.57"""
"""681676.0""","""20.01""","""-3.65""","""-3.53"""
"""681777.0""","""3.14""","""-1.41""","""-1.8"""
